EM	OR	IM	IB
-0.108877	0.109121	0.035455	-0.0354215
-0.15975	0.160009	0.0592007	-0.0591531
-0.10199	0.102083	0.023409	-0.023275
-0.0954144	0.0955495	-0.00257276	0.00274096
-0.182605	0.182605	0.0814082	-0.0808835
-0.14608	0.146468	0.0532115	-0.0532217
-0.180291	0.180432	0.069423	-0.069305
-0.165437	0.165747	0.0654165	-0.0653755
-0.171289	0.171492	0.0543296	-0.0541634
-0.204796	0.205058	0.0936505	-0.0936103
-0.09759	0.0977102	0.0176164	-0.0175025
-0.0828012	0.0831123	-0.00120459	0.00121854
-0.134093	0.134234	0.0334964	-0.0333511
-0.106345	0.106698	0.021008	-0.0210172
-0.209067	0.209465	0.0866113	-0.0866141
-0.128302	0.128569	0.0474041	-0.0474108
-0.205564	0.20575	0.084624	-0.0844935
-0.194431	0.194848	0.0752122	-0.0751039
-0.101122	0.101396	0.0164739	-0.0164372
-0.123452	0.123592	0.0137938	-0.013642
-0.13609	0.136258	0.0349816	-0.0348256
-0.123656	0.123777	0.033129	-0.0329808
-0.167484	0.168863	0.0582253	-0.0585399
-0.155368	0.155588	0.0580724	-0.0580357
-0.13696	0.137114	0.0407504	-0.0406312
-0.197813	0.197945	0.0864586	-0.0862197
-0.141852	0.143669	0.0420761	-0.0423472
-0.184267	0.184426	0.0792192	-0.0791151
-0.0896321	0.0897405	0.00529769	-0.00517022
-0.0685411	0.068645	-0.0130533	0.0131876
-0.130822	0.131136	0.0397265	-0.0396994
-0.174749	0.175103	0.0585494	-0.0585104
-0.129419	0.129744	0.0448096	-0.0447781
-0.244334	0.244508	0.110185	-0.110067
-0.134637	0.134726	0.0390276	-0.0389108
-0.125695	0.126021	0.034632	-0.0346544
-0.0972338	0.0973328	0.015903	-0.0158075
-0.144831	0.145077	0.0433359	-0.0432901
-0.110906	0.111049	0.0259533	-0.0258374
-0.257119	0.257302	0.127643	-0.127557
-0.168472	0.168649	0.0500541	-0.0498911
-0.0928873	0.0930038	0.00252987	-0.00236593
-0.202915	0.203284	0.0767269	-0.0766816
-0.148083	0.148443	0.0345898	-0.034555
-0.190032	0.19069	0.0749578	-0.0750902
-0.172719	0.173077	0.0668556	-0.0668173
-0.198136	0.198308	0.0822668	-0.0818399
-0.135802	0.136068	0.0468645	-0.0468441
-0.162617	0.162808	0.0593457	-0.0592132
-0.150563	0.151861	0.051232	-0.051494
-0.161028	0.161337	0.0502517	-0.050168
-0.158143	0.15828	0.0538952	-0.0537855
-0.153647	0.153793	0.0583714	-0.058167
-0.093792	0.0939101	-0.00258336	0.00274493
-0.167927	0.168143	0.061822	-0.0617633
-0.109216	0.109331	0.0252811	-0.0251479
-0.136478	0.136605	0.0502702	-0.0502181
-0.220226	0.220409	0.0935296	-0.0933998
-0.111482	0.111558	0.0336303	-0.0334659
-0.128634	0.129694	0.0457735	-0.0460219
-0.129449	0.129786	0.0316787	-0.0316584
-0.186392	0.186928	0.060096	-0.0601396
-0.120688	0.120925	0.0306569	-0.0306113
-0.141682	0.141795	0.052873	-0.0527697
-0.102337	0.102514	0.0191213	-0.0190597
-0.168559	0.1695	0.0590491	-0.0593393
-0.213519	0.21367	0.105153	-0.105056
-0.177318	0.177513	0.0600555	-0.0599149
-0.183794	0.184168	0.0739044	-0.0739044
-0.144671	0.145241	0.0336468	-0.0336855
-0.169221	0.169585	0.0480765	-0.0480164
-0.176378	0.176716	0.0705193	-0.0705378
-0.111588	0.112371	0.0158815	-0.0159492
-0.15053	0.150797	0.0516691	-0.0516185
-0.139939	0.140093	0.0249577	-0.0247667
-0.119012	0.11921	0.0283336	-0.0282835
-0.220974	0.221414	0.0958335	-0.0958252
-0.0937994	0.0937705	0.03046	-0.0299384
-0.220647	0.220907	0.108568	-0.108535
-0.20305	0.203534	0.0849043	-0.0849856
-0.0623425	0.0624075	-0.00937252	0.00954016
-0.145787	0.146105	0.0522398	-0.0522154
-0.135295	0.1357	0.0442953	-0.0443019
-0.0638558	0.063952	-0.0120959	0.0122367
-0.053797	0.0539071	-0.00639679	0.00652042
-0.149183	0.15039	0.0288191	-0.0290525
-0.132037	0.133243	0.0379119	-0.0382424
-0.135219	0.135374	0.0406278	-0.0405009
-0.142067	0.142703	0.0494714	-0.0496686
-0.154426	0.154566	0.0510593	-0.0509188
-0.218744	0.219157	0.102185	-0.102221
-0.0904196	0.0908466	0.0113213	-0.0113738
-0.132613	0.132718	0.042213	-0.0420999
-0.196341	0.196605	0.0921646	-0.09215
-0.183864	0.184134	0.0724737	-0.0723994
-0.172246	0.172427	0.0776633	-0.0775614
-0.183538	0.184869	0.0552497	-0.0555731
-0.16984	0.170388	0.0619117	-0.0619629
-0.141423	0.141826	0.0574236	-0.0574953
-0.152635	0.152848	0.0719551	-0.0719495
