EM	OR	IM	IB
0.156048	-0.156044	-0.28232	0.282604
0.16809	-0.168102	-0.306018	0.306332
0.17586	-0.176083	-0.315775	0.31651
0.212687	-0.212692	-0.387146	0.387553
0.16356	-0.16396	-0.295441	0.296725
0.177867	-0.177917	-0.322008	0.322426
0.181746	-0.181865	-0.327568	0.328095
0.172779	-0.172796	-0.311644	0.311988
0.207289	-0.207308	-0.376415	0.376824
0.167057	-0.167066	-0.30182	0.302147
0.180595	-0.180646	-0.325606	0.326021
0.187324	-0.187365	-0.339674	0.340081
0.20301	-0.203066	-0.365725	0.366171
0.188464	-0.188532	-0.33793	0.338375
0.200718	-0.200769	-0.364141	0.364617
0.160967	-0.160998	-0.289143	0.289483
0.19777	-0.1978	-0.358077	0.358472
0.194197	-0.194249	-0.354509	0.355075
0.181915	-0.181926	-0.329699	0.330062
0.224346	-0.224433	-0.408316	0.408856
0.187508	-0.187522	-0.34092	0.341289
0.1796	-0.179605	-0.325103	0.325439
0.189546	-0.189915	-0.343134	0.344583
0.167284	-0.167293	-0.300444	0.300737
0.183989	-0.183996	-0.332285	0.332615
0.177275	-0.177308	-0.319901	0.320381
0.192618	-0.193149	-0.350061	0.352216
0.180877	-0.180878	-0.326125	0.326444
0.19545	-0.195446	-0.353639	0.353994
0.198123	-0.198141	-0.357755	0.358098
0.185618	-0.18565	-0.333988	0.334375
0.203254	-0.20328	-0.36918	0.369619
0.17214	-0.17217	-0.309514	0.309851
0.198058	-0.198068	-0.358663	0.359024
0.173611	-0.173699	-0.315297	0.315742
0.177405	-0.177474	-0.319467	0.319865
0.174327	-0.174412	-0.314228	0.314663
0.173229	-0.173243	-0.314837	0.315159
0.175304	-0.175309	-0.317829	0.318137
0.186855	-0.186933	-0.337751	0.338269
0.212834	-0.212848	-0.385278	0.38568
0.181911	-0.18189	-0.331006	0.331301
0.203852	-0.20387	-0.372203	0.37262
0.19869	-0.198736	-0.361384	0.361878
0.197761	-0.197944	-0.35785	0.358589
0.184732	-0.18477	-0.333435	0.333808
0.18819	-0.18848	-0.341675	0.342907
0.17305	-0.173068	-0.310145	0.31048
0.192959	-0.193018	-0.34825	0.34867
0.173909	-0.17425	-0.31567	0.317036
0.205161	-0.205158	-0.372176	0.372508
0.174234	-0.174221	-0.316088	0.316364
0.170599	-0.170641	-0.309052	0.309481
0.202381	-0.20238	-0.367803	0.368222
0.179385	-0.179366	-0.325713	0.325998
0.175223	-0.175232	-0.315941	0.316243
0.142501	-0.142486	-0.258491	0.258695
0.199959	-0.200083	-0.363875	0.36448
0.161161	-0.161442	-0.291275	0.292092
0.148739	-0.149168	-0.27003	0.271459
0.179014	-0.179083	-0.325188	0.32556
0.212706	-0.212822	-0.386663	0.387287
0.157037	-0.157053	-0.285761	0.286082
0.161022	-0.161068	-0.289132	0.289496
0.171506	-0.1715	-0.308576	0.30886
0.182461	-0.182793	-0.334377	0.335394
0.156039	-0.156185	-0.280928	0.281448
0.199455	-0.199536	-0.365074	0.365571
0.179033	-0.179082	-0.326614	0.327067
0.206409	-0.206545	-0.37573	0.376383
0.218586	-0.218608	-0.396769	0.397244
0.168781	-0.168833	-0.308102	0.308505
0.183442	-0.183664	-0.333837	0.334888
0.176683	-0.176686	-0.318862	0.319194
0.222718	-0.222738	-0.405523	0.406052
0.166221	-0.166232	-0.302245	0.302554
0.173362	-0.17341	-0.315308	0.31583
0.136244	-0.136533	-0.24361	0.24471
0.172142	-0.17214	-0.308043	0.308303
0.191751	-0.191863	-0.346354	0.346931
0.169798	-0.170043	-0.308252	0.309056
0.16648	-0.166525	-0.300417	0.300793
0.170762	-0.170825	-0.309371	0.309829
0.175893	-0.175889	-0.318178	0.318474
0.162214	-0.162251	-0.29135	0.291662
0.218307	-0.218678	-0.400076	0.401365
0.179634	-0.180032	-0.324169	0.325466
0.178331	-0.17834	-0.322869	0.323193
0.165943	-0.166175	-0.299388	0.300084
0.184736	-0.184763	-0.333446	0.333825
0.167123	-0.167198	-0.303558	0.304
0.181763	-0.181872	-0.329031	0.32959
0.177483	-0.177528	-0.317555	0.317929
0.166201	-0.166214	-0.297597	0.297907
0.187918	-0.187907	-0.339849	0.340184
0.156404	-0.15644	-0.281763	0.282084
0.218516	-0.218895	-0.398805	0.400244
0.181753	-0.181874	-0.330808	0.331385
0.143073	-0.143182	-0.258584	0.259045
0.131632	-0.131638	-0.238483	0.238734
